Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Ground,Start Date,Format,Oppositions,100s,50s,200s
6.0,17,11,0,0,54.54,1,caught,1,Melbourne,17-Jan-16,ODI,Australia,0,0,0
41.0,28,25,2,3,164,1,caught,2,Canberra,20-Jan-16,ODI,Australia,0,0,0
99.0,142,108,9,1,91.66,1,caught,2,Sydney,23-Jan-16,ODI,Australia,0,1,0
31.0,21,20,4,1,155,1,caught,1,Adelaide,26-Jan-16,T20I,Australia,0,0,0
60.0,69,47,5,2,127.65,1,run out,1,Melbourne,29-Jan-16,T20I,Australia,0,1,0
52.0,57,38,5,1,136.84,1,caught,2,Sydney,31-Jan-16,T20I,Australia,0,1,0
0.0,2,2,0,0,0,1,caught,1,Pune,09-Feb-16,T20I,Sri Lanka,0,0,0
43.0,,36,2,1,119.44,1,caught,1,Ranchi,12-Feb-16,T20I,Sri Lanka,0,0,0
13.0,,13,1,1,100,1,lbw,2,Visakhapatnam,14-Feb-16,T20I,Sri Lanka,0,0,0
83.0,90,55,7,3,150.9,1,caught,1,Mirpur,24-Feb-16,T20I,Bangladesh,0,1,0
0.0,2,2,0,0,0,1,lbw,2,Mirpur,27-Feb-16,T20I,Pakistan,0,0,0
15.0,15,14,3,0,107.14,2,caught,2,Mirpur,01-Mar-16,T20I,Sri Lanka,0,0,0
39.0,26,28,7,1,139.28,1,caught,2,Mirpur,03-Mar-16,T20I,U.A.E.,0,0,0
1.0,8,5,0,0,20,1,caught,2,Mirpur,06-Mar-16,T20I,Bangladesh,0,0,0
5.0,,7,0,0,71.42,1,stumped,2,Nagpur,15-Mar-16,T20I,New Zealand,0,0,0
10.0,11,11,2,0,90.9,1,caught,2,Eden Gardens,19-Mar-16,T20I,Pakistan,0,0,0
18.0,29,16,1,1,112.5,1,caught,1,Bengaluru,23-Mar-16,T20I,Bangladesh,0,0,0
12.0,25,17,1,0,70.58,1,bowled,2,Mohali,27-Mar-16,T20I,Australia,0,0,0
43.0,29,31,3,3,138.7,1,lbw,1,Wankhede,31-Mar-16,T20I,West Indies,0,0,0
9.0,30,23,2,0,39.13,5,caught,1,Gros Islet,09-Aug-16,Test,West Indies,0,0,0
41.0,74,59,1,3,69.49,5,lbw,3,Gros Islet,09-Aug-16,Test,West Indies,0,0,0
,,,,,,,,-,Port of Spain,18-Aug-16,Test,West Indies,0,0,0
62.0,54,28,4,4,221.42,1,caught,2,Lauderhill,27-Aug-16,T20I,West Indies,0,1,0
10.0,9,8,0,1,125,1,not out,2,Lauderhill,28-Aug-16,T20I,West Indies,0,0,0
35.0,96,67,3,1,52.23,6,caught,1,Kanpur,22-Sep-16,Test,New Zealand,0,0,0
68.0,156,93,8,0,73.11,6,not out,3,Kanpur,22-Sep-16,Test,New Zealand,0,1,0
2.0,22,12,0,0,16.66,6,caught,1,Eden Gardens,30-Sep-16,Test,New Zealand,0,0,0
82.0,214,132,9,2,62.12,6,caught,3,Eden Gardens,30-Sep-16,Test,New Zealand,0,1,0
51.0,90,63,3,2,80.95,6,not out,1,Indore,08-Oct-16,Test,New Zealand,0,1,0
,,,,,,,,3,Indore,08-Oct-16,Test,New Zealand,0,0,0
14.0,44,26,1,1,53.84,1,lbw,2,Dharamsala,16-Oct-16,ODI,New Zealand,0,0,0
15.0,28,27,1,1,55.55,1,caught,2,Delhi,20-Oct-16,ODI,New Zealand,0,0,0
13.0,35,21,2,0,61.9,1,lbw,2,Mohali,23-Oct-16,ODI,New Zealand,0,0,0
11.0,15,19,2,0,57.89,2,caught,2,Ranchi,26-Oct-16,ODI,New Zealand,0,0,0
70.0,107,65,5,3,107.69,2,caught,1,Visakhapatnam,29-Oct-16,ODI,New Zealand,0,1,0
91.0,146,119,7,2,76.47,1,run out,1,Birmingham,04-Jun-17,ODI,Pakistan,0,1,0
78.0,107,79,6,3,98.73,1,caught,1,The Oval,08-Jun-17,ODI,Sri Lanka,0,1,0
12.0,23,20,1,1,60,1,caught,2,The Oval,11-Jun-17,ODI,South Africa,0,0,0
123.0,165,129,15,1,95.34,1,not out,2,Birmingham,15-Jun-17,ODI,Bangladesh,1,0,0
0.0,4,3,0,0,0,1,lbw,2,The Oval,18-Jun-17,ODI,Pakistan,0,0,0
4.0,,13,0,0,30.76,1,run out,2,Dambulla,20-Aug-17,ODI,Sri Lanka,0,0,0
54.0,,45,5,3,120,1,lbw,2,Pallekele,24-Aug-17,ODI,Sri Lanka,0,1,0
124.0,,145,16,2,85.51,1,not out,2,Pallekele,27-Aug-17,ODI,Sri Lanka,1,0,0
104.0,,88,11,3,118.18,1,caught,1,Colombo (RPS),31-Aug-17,ODI,Sri Lanka,1,0,0
16.0,,20,1,0,80,1,caught,2,Colombo (RPS),03-Sep-17,ODI,Sri Lanka,0,0,0
9.0,,8,1,0,112.5,1,caught,2,Colombo (RPS),06-Sep-17,T20I,Sri Lanka,0,0,0
28.0,81,44,3,0,63.63,2,caught,1,Chennai,17-Sep-17,ODI,Australia,0,0,0
7.0,24,14,1,0,50,2,caught,1,Eden Gardens,21-Sep-17,ODI,Australia,0,0,0
